kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun_ajaran,jumlah_murid,jumlah_guru,ratio,level,indeks pendidikan
32,JAWA BARAT,3217,Bandung Barat,2018,31308,1377,22.73638344,smk,59.43
32,JAWA BARAT,3218,Pangandaran,2018,8517,584,14.58390411,smk,58.71
32,JAWA BARAT,3271,Kota Bogor,2018,38308,3717,10.30616088,smk,71.5
32,JAWA BARAT,3272,Kota Sukabumi,2018,12097,1692,7.149527187,smk,68.99
32,JAWA BARAT,3273,Kota Bandung,2018,64971,721,90.11234397,smk,74.82
32,JAWA BARAT,3274,Kota Cirebon,2018,11685,738,15.83333333,smk,69.33
32,JAWA BARAT,3275,Kota Bekasi,2018,65952,2637,25.01023891,smk,75.19
32,JAWA BARAT,3276,Kota Depok,2018,39200,1698,23.08598351,smk,74.78
32,JAWA BARAT,3277,Kota Cimahi,2018,19421,834,23.28657074,smk,74.72
32,JAWA BARAT,3278,Kota Tasikmalaya,2018,19804,1231,16.08773355,smk,67.41
32,JAWA BARAT,3279,Kota Banjar,2018,8390,493,17.01825558,smk,65.33
32,JAWA BARAT,3201,Bogor,2019,133945,2712,49.38974926,smk,62.27
32,JAWA BARAT,3202,Sukabumi,2019,48326,1474,32.78561737,smk,57.34
32,JAWA BARAT,3203,Cianjur,2019,64849,2644,24.52685325,smk,56.51
32,JAWA BARAT,3204,Bandung,2019,60382,5033,11.99721836,smk,64.52
32,JAWA BARAT,3205,Garut,2019,58826,1339,43.93278566,smk,57.87
32,JAWA BARAT,3206,Tasikmalaya,2019,44289,2925,15.14153846,smk,58.68
32,JAWA BARAT,3207,Ciamis,2019,22807,2491,9.155760739,smk,63.94
32,JAWA BARAT,3208,Kuningan,2019,27698,3030,9.141254125,smk,58.21
32,JAWA BARAT,3209,Cirebon,2019,53420,2560,20.8671875,smk,56.37
32,JAWA BARAT,3210,Majalengka,2019,27823,2476,11.23707593,smk,57.55
32,JAWA BARAT,3211,Sumedang,2019,27951,1508,18.53514589,smk,63.57
32,JAWA BARAT,3212,Indramayu,2019,48282,1437,33.59916493,smk,53.97
32,JAWA BARAT,3213,Subang,2019,38930,593,65.64924115,smk,55.31
32,JAWA BARAT,3214,Purwakarta,2019,21787,1084,20.09870849,smk,60.01
32,JAWA BARAT,3215,Karawang,2019,61468,1968,31.23373984,smk,59.06
32,JAWA BARAT,3216,Bekasi,2019,68214,2102,32.45195052,smk,65.8
32,JAWA BARAT,3217,Bandung Barat,2019,33124,1629,20.33394721,smk,60.21
32,JAWA BARAT,3218,Pangandaran,2019,9530,2531,3.765310154,smk,59.07
32,JAWA BARAT,3271,Kota Bogor,2019,38680,3551,10.89270628,smk,71.62
32,JAWA BARAT,3272,Kota Sukabumi,2019,12824,500,25.648,smk,69.32
32,JAWA BARAT,3273,Kota Bandung,2019,64678,2652,24.38838612,smk,75.22
32,JAWA BARAT,3274,Kota Cirebon,2019,11986,1633,7.339865279,smk,69.42
32,JAWA BARAT,3275,Kota Bekasi,2019,67073,822,81.5973236,smk,75.86
32,JAWA BARAT,3276,Kota Depok,2019,40210,711,56.55414909,smk,75.31
32,JAWA BARAT,3277,Kota Cimahi,2019,19692,1698,11.59717314,smk,74.81
32,JAWA BARAT,3278,Kota Tasikmalaya,2019,20324,714,28.46498599,smk,67.77
32,JAWA BARAT,3279,Kota Banjar,2019,8549,1257,6.801113763,smk,65.46
